minutes,player_name,TS%,AST,TO,USG,ORR,DRR,REBR,PER
0,Sylvester,0.6146674563684124,34.01374469653606,14.647493841388073,37.14525468295707,8.28310821592243,23.321557938787777,12.430228661214,25.404220863128277
0,Marvin the Martian,0.6089369957936437,30.111934800750188,14.183951115307668,33.71339674380005,6.928050630313365,17.860791187260507,12.002318605665103,26.02508489202967
0,Road Runner,0.6181258954358162,25.464932122280008,13.34725738977264,34.73018805703993,7.305017771065415,21.229107260597246,13.24584048813112,26.710741339448024
0,Foghorn Leghorn,0.607083248637691,25.593201652130247,15.242575557527985,35.86038565554439,4.931597710192644,16.78448863544786,12.91317498237723,28.604657635916343
0,Bugs Bunny,0.6271136982894234,32.96774304465534,16.465900361900047,32.99051356510148,4.597121698833483,14.974182432287623,14.626444368723316,31.654908426748616
0,Elmer Fudd,0.6151207722297162,30.35921296899225,15.795685770594536,37.23990324832999,4.304860592237943,20.65694348871715,14.310897456977882,29.748620730982157
0,Lola Bunny,0.6385342737166028,34.04773828187644,14.415960830337648,36.74619613842574,4.180761194136208,22.147213068105625,16.51035370570818,34.077523820385636
0,Porky Pig,0.6172326440434382,29.413882042542486,15.733227619785474,34.7786055573162,5.698886653804475,16.043138633250404,12.862661053391797,28.83409751683182
0,Tasmanian Devil,0.6185820098694932,28.126934607221653,15.39310918473656,35.60352705004909,4.53671276179262,19.45862145201415,9.734130564480852,23.301023184930532
0,Gossamer,0.6326797107876837,33.81634782915717,15.94234698292635,31.900333005019398,5.7533860590564325,11.788298471542372,13.792744581321882,32.219482283566634
0,Granny,0.6287057128153798,26.2482913038194,15.09807237843399,37.67400359206092,6.928156286628051,24.24059866606978,12.167379196067742,24.912135046479822
0,Wile E. Coyote,0.6165605385854682,31.944890184168028,13.780081032047603,31.963319070272096,6.679386422418991,21.647629236503565,14.971063702977299,27.653426363310746
0,Tweety,0.6084259063923061,30.681098673294876,14.016162101664287,37.37741379540246,7.005307689812425,24.79662482014869,10.140394705125647,21.43971113708935
0,Penelope,0.6115941925365251,26.95180187963731,14.969067168034131,29.295767320452708,7.133217008378465,18.748572536427563,12.675371645746802,23.115635390619335
0,Daffy Duck,0.6191166530890188,31.256214665447978,14.983572744562347,35.184721428741085,6.0945041729606055,30.481577065748827,15.243605999417317,24.04455738086951
12,Sylvester,0.6169210071058975,32.506172861668624,14.394236602185876,33.92961951390725,7.682679216320514,13.934773248414615,14.344819574491387,32.22196774839853
12,Marvin the Martian,0.6082855118238331,35.113543321518655,15.177242494711908,31.763912232599058,6.292489362101411,25.14751046276747,14.600436225251068,24.01198954534424
12,Road Runner,0.6164378143607224,30.11663426278791,13.426287498609529,35.868011388690036,4.373439950413924,27.396465652306116,13.150274719936984,24.492678735028168
12,Foghorn Leghorn,0.6212393770069813,34.21950004720529,17.21596451039852,34.116403772077376,6.499252719816232,20.262972697450927,17.078370457969395,31.350555903512504
12,Bugs Bunny,0.6273081886015794,31.97462512814347,15.786588797616762,31.031814736281163,4.581933145929192,22.771153424831954,13.506299004652004,24.39197298201974
12,Elmer Fudd,0.6155901286482913,29.926614871278055,15.529334288601518,34.73106626884375,4.86344696393113,22.864456448526383,12.045541725083465,23.725947671948123
12,Lola Bunny,0.6300060592996486,32.337376452295864,14.044041438911202,38.361894647521254,4.331782651046783,16.841114372255415,16.27812359961687,37.524818863853426
12,Porky Pig,0.625458680851998,35.605655277443006,15.803928001815137,37.93605205560133,5.8633824902051,22.33996176097944,15.581492851452442,31.595700115192262
12,Tasmanian Devil,0.6201712323038521,27.740596203240905,14.00842499076022,32.83560214859452,3.767198077835477,21.099781396175345,9.225183354909042,20.935741255187768
12,Gossamer,0.6166134061320626,29.808961045303455,15.019510296979423,36.91467710737855,4.727816691780664,17.86403627388122,13.500783619319575,30.515730857871045
12,Granny,0.614282444682309,24.42620708942279,16.93107405501488,33.70990668291646,7.401412477583679,15.819833380742988,11.28927499442904,24.39609933113127
12,Wile E. Coyote,0.6100289275441962,27.77682984766105,14.8715654013841,33.690777465000124,7.502794981179301,19.12276284417449,15.64882884683759,29.59732029867671
12,Tweety,0.623467164151811,27.424197733015568,12.704424355178949,35.949124937749694,5.184000938799296,28.880746607706552,11.27834471453545,21.3569232026987
12,Penelope,0.5964058150929283,23.761302059430122,15.86684425384925,30.443476777518537,8.961021497033379,16.037438941063275,11.788647298950712,22.114675408335774
12,Daffy Duck,0.6116619494366549,35.38593433839161,14.840036784801836,32.986584050536564,5.535496686236013,21.023430296085188,15.027742144301856,28.488831823389578
24,Sylvester,0.6243564929422506,30.15909083848468,14.821350876349028,38.74688288560047,7.642691298092442,22.45118953193308,14.019673926112162,29.345834715165534
24,Marvin the Martian,0.6185732245783288,32.09412666781889,14.679974833819072,31.026945786654156,5.499513914615555,21.16085511456676,11.897965316103697,23.053379845876055
24,Road Runner,0.6330468996221209,29.520585500066648,13.760795794222982,33.34260558376676,7.384627915818676,27.74968959880536,11.38041415536996,20.24975133061641
